1;23;19;12;25;5;6;3;13;8;10;17;9;1;18;7
2;23;1;5;12;20;8;18;21;2;11;22;14;6;15;10
3;3;17;23;5;15;8;22;16;10;9;11;7;1;12;21
4;9;18;17;19;14;24;25;20;3;10;13;4;8;16;2
5;17;14;2;11;12;24;18;21;16;5;22;20;7;25;8
6;11;17;15;22;12;21;23;2;4;10;25;3;16;20;7
7;5;17;13;3;24;15;25;16;2;10;9;1;12;23;19
8;22;1;2;7;17;8;14;13;9;21;18;23;6;16;11
9;12;20;13;6;9;7;24;16;2;18;21;10;5;22;14
10;1;4;2;19;16;6;9;22;8;14;23;5;12;24;10
11;18;7;14;5;21;20;12;2;17;25;1;8;19;10;11
12;19;3;4;18;24;11;17;25;1;10;7;6;13;12;23
13;14;15;10;12;23;7;6;19;17;25;22;11;9;1;24
14;4;1;23;11;12;6;21;25;7;2;20;9;8;3;15
15;13;9;1;8;12;19;17;6;18;16;4;23;20;24;22
16;12;4;9;13;14;15;20;5;1;7;11;18;17;22;2
17;7;13;5;6;2;23;4;9;15;1;22;8;24;25;18
18;19;15;13;6;2;7;8;5;9;17;23;11;10;3;14
19;15;16;23;11;5;1;7;13;3;22;4;18;25;6;2
20;13;12;14;19;21;20;15;3;10;1;4;24;25;16;11
21;4;24;7;5;16;11;25;9;17;3;18;23;10;19;20
22;25;20;11;6;19;1;23;15;12;17;14;3;18;8;21
23;12;4;5;1;2;18;17;23;14;9;21;8;24;6;11
24;1;6;14;11;8;17;15;18;3;5;23;12;10;21;22
25;3;4;24;1;19;12;21;10;22;14;7;6;8;25;11
26;15;18;21;3;6;19;12;10;5;24;25;20;8;16;2
27;9;3;13;18;12;20;11;8;1;7;14;25;21;19;23
28;11;19;15;14;24;7;21;13;16;20;25;4;10;23;2
29;13;12;25;20;22;19;2;9;21;14;6;5;4;8;10
30;4;14;10;20;18;13;1;22;11;17;3;9;5;2;16
31;13;20;11;2;12;23;17;18;4;10;16;3;19;8;9
32;10;14;9;2;8;11;21;5;20;19;6;17;18;16;23
33;8;2;17;5;7;10;14;11;12;22;23;24;4;1;9
34;13;17;1;12;25;20;5;19;22;8;24;14;21;6;3
35;15;23;8;21;6;1;24;20;3;22;10;2;7;17;12
36;12;25;20;6;3;24;22;18;1;5;2;4;8;21;23
37;12;18;14;10;3;5;20;21;25;13;11;8;19;16;1
38;23;8;21;15;17;13;7;19;6;22;9;5;1;4;11
39;17;11;1;10;4;8;24;5;6;14;15;22;23;13;19
40;3;2;22;21;4;19;6;23;8;25;20;12;15;7;1
41;16;2;21;10;22;17;14;24;20;3;9;4;15;5;11
42;6;24;14;20;17;9;15;18;4;19;8;21;1;10;13
43;2;17;14;13;15;12;7;6;18;23;11;4;25;19;22
44;5;18;21;9;3;2;24;11;8;6;23;17;25;16;13
45;3;6;22;19;9;21;18;15;12;2;24;7;20;5;8
46;25;24;19;16;20;22;2;17;23;13;12;3;8;11;18
47;11;20;4;1;3;15;18;24;16;19;12;25;23;22;8
48;10;13;16;2;14;1;12;24;3;11;20;4;17;7;25
49;21;19;11;2;24;22;25;13;3;9;10;5;1;12;23
50;23;14;1;18;13;5;2;6;25;21;22;19;16;3;24
51;9;21;10;18;25;5;4;11;14;17;2;1;8;15;16
52;10;1;8;3;9;12;7;21;22;15;4;25;18;13;11
53;14;4;18;22;7;19;9;24;3;25;16;8;2;20;17
54;20;18;7;2;9;19;13;5;23;11;21;16;10;8;12
55;12;14;24;21;17;7;20;23;13;10;1;9;2;5;19
56;25;1;19;15;6;2;17;4;21;16;7;14;18;10;23
57;3;14;1;19;22;25;18;9;7;16;23;4;21;12;5
58;16;13;17;3;4;6;9;19;7;21;5;25;14;22;24
59;24;13;14;11;16;20;7;4;3;22;23;8;15;1;6
60;22;23;9;10;2;20;1;3;24;17;8;25;4;12;5
61;20;9;25;11;6;15;5;18;2;21;10;22;14;19;13
62;1;4;3;2;22;7;16;8;13;6;15;18;14;11;9
63;9;23;8;25;13;15;2;11;20;17;21;24;10;12;1
64;10;12;15;9;3;13;5;23;11;20;24;21;7;14;8
65;14;24;3;25;22;16;10;20;19;21;8;13;7;9;15
66;6;13;21;14;9;4;24;8;15;3;22;2;11;20;1
67;1;12;24;13;6;17;21;2;18;9;19;11;15;10;25
68;3;21;7;5;17;8;20;1;11;24;18;23;15;6;12
69;4;8;10;22;16;23;24;9;5;3;21;18;14;15;2
70;7;11;18;2;17;6;14;4;5;25;10;20;16;22;8
71;21;20;3;11;16;15;14;10;7;5;6;4;19;22;13
72;5;9;20;4;14;24;1;19;3;21;7;15;16;8;13
73;7;24;18;8;4;25;16;5;17;9;6;21;22;20;11
74;25;15;10;11;6;9;2;7;4;8;20;22;23;13;12
75;8;25;10;14;2;11;13;21;22;12;3;20;23;4;1
76;4;23;7;16;9;14;19;11;24;12;6;3;8;15;10
77;24;18;7;4;14;2;13;19;21;16;22;10;17;12;8
78;20;15;4;16;11;17;5;2;23;24;13;10;19;9;1
